BioSample,LibraryName,refGenome,Run,Organism,BioProject,fq1,fq2
HI.5093.003.IDT_i7_102---IDT_i5_102.FSH_003,lib_HI.5093.003.IDT_i7_102---IDT_i5_102.FSH_003,GCF_902500615.1_NSP_V7_genomic,0,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_102---IDT_i5_102.FSH_003_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_102---IDT_i5_102.FSH_003_R2.fastq.gz
HI.5093.003.IDT_i7_103---IDT_i5_103.FSH_015,lib_HI.5093.003.IDT_i7_103---IDT_i5_103.FSH_015,GCF_902500615.1_NSP_V7_genomic,1,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_103---IDT_i5_103.FSH_015_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_103---IDT_i5_103.FSH_015_R2.fastq.gz
HI.5093.003.IDT_i7_104---IDT_i5_104.FSH_032,lib_HI.5093.003.IDT_i7_104---IDT_i5_104.FSH_032,GCF_902500615.1_NSP_V7_genomic,2,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_104---IDT_i5_104.FSH_032_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_104---IDT_i5_104.FSH_032_R2.fastq.gz
HI.5093.003.IDT_i7_114---IDT_i5_114.FSH_004,lib_HI.5093.003.IDT_i7_114---IDT_i5_114.FSH_004,GCF_902500615.1_NSP_V7_genomic,3,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_114---IDT_i5_114.FSH_004_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_114---IDT_i5_114.FSH_004_R2.fastq.gz
HI.5093.003.IDT_i7_115---IDT_i5_115.FSH_016,lib_HI.5093.003.IDT_i7_115---IDT_i5_115.FSH_016,GCF_902500615.1_NSP_V7_genomic,4,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_115---IDT_i5_115.FSH_016_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_115---IDT_i5_115.FSH_016_R2.fastq.gz
HI.5093.003.IDT_i7_116---IDT_i5_116.FSH_033,lib_HI.5093.003.IDT_i7_116---IDT_i5_116.FSH_033,GCF_902500615.1_NSP_V7_genomic,5,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_116---IDT_i5_116.FSH_033_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_116---IDT_i5_116.FSH_033_R2.fastq.gz
HI.5093.003.IDT_i7_126---IDT_i5_126.FSH_005,lib_HI.5093.003.IDT_i7_126---IDT_i5_126.FSH_005,GCF_902500615.1_NSP_V7_genomic,6,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_126---IDT_i5_126.FSH_005_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_126---IDT_i5_126.FSH_005_R2.fastq.gz
HI.5093.003.IDT_i7_127---IDT_i5_127.FSH_018,lib_HI.5093.003.IDT_i7_127---IDT_i5_127.FSH_018,GCF_902500615.1_NSP_V7_genomic,7,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_127---IDT_i5_127.FSH_018_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_127---IDT_i5_127.FSH_018_R2.fastq.gz
HI.5093.003.IDT_i7_128---IDT_i5_128.FSH_036,lib_HI.5093.003.IDT_i7_128---IDT_i5_128.FSH_036,GCF_902500615.1_NSP_V7_genomic,8,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_128---IDT_i5_128.FSH_036_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_128---IDT_i5_128.FSH_036_R2.fastq.gz
HI.5093.003.IDT_i7_138---IDT_i5_138.FSH_009,lib_HI.5093.003.IDT_i7_138---IDT_i5_138.FSH_009,GCF_902500615.1_NSP_V7_genomic,9,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_138---IDT_i5_138.FSH_009_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_138---IDT_i5_138.FSH_009_R2.fastq.gz
